TFA AMA Th Tz
-1.528817742682258540e+01 7.812153449715836473e+01 -7.675953714423953045e+01 1.452403558219328339e+01
-1.775677079332388786e+01 7.112046169539532059e+01 -7.050520706022815887e+01 9.334658491907818600e+00
-1.815993524662598091e+01 6.551556135940616343e+01 -6.516760454654773582e+01 6.743300223398351001e+00
-1.759991777146789005e+01 6.124885640262066033e+01 -6.098694259353053582e+01 5.658201456492756520e+00
-1.666119923369730316e+01 5.811576829736213057e+01 -5.786353307896667530e+01 5.408702655166981010e+00
-1.563453632951695305e+01 5.590441689114636858e+01 -5.562218007087549410e+01 5.610428869720397671e+00
-1.465987858689929979e+01 5.443732161552454585e+01 -5.410044430599508303e+01 6.046809949550237206e+00
-1.380294195253923917e+01 5.357731868325683422e+01 -5.316986158516002092e+01 6.595066057454356034e+00
-1.309413597577368193e+01 5.322271540661356681e+01 -5.273562563544444970e+01 7.184095217328001937e+00
-1.254822275292381306e+01 5.330050115731900462e+01 -5.273096799733784934e+01 7.770999786713160162e+00
-1.217445092106287774e+01 5.376032320860777958e+01 -5.311138924945637285e+01 8.327825855930356624e+00
-1.198206935720053146e+01 5.456981752959053722e+01 -5.385006640491797469e+01 8.833760999638343492e+00
-1.198368748101175463e+01 5.571122013471351408e+01 -5.493454241087410850e+01 9.270172544585228991e+00
-1.219776415682304815e+01 5.717901882776308042e+01 -5.636446836076349598e+01 9.617010996883379903e+00
-1.265094156392755842e+01 5.897839231238366153e+01 -5.815010262886259795e+01 9.849686492786627667e+00
-1.338067631352799403e+01 6.112419882174898333e+01 -6.031125493695704165e+01 9.935804422897763999e+00
-1.443849655496321915e+01 6.364027029967832760e+01 -6.287631007190221766e+01 9.831258086233273019e+00
-1.589413460822865964e+01 6.655871207095427167e+01 -6.588082174187800888e+01 9.475203383520938161e+00
-1.784066079108105640e+01 6.991877173455152672e+01 -6.936487263455420305e+01 8.783455200568619503e+00
-2.040044299425504803e+01 7.376458428023326519e+01 -7.336787393396626555e+01 7.639958667772385859e+00
-2.373104032754417148e+01 7.814067647703002706e+01 -7.791864554309015034e+01 5.886424807822862704e+00
-2.802859587270513941e+01 8.308350445601357137e+01 -8.301748707538614269e+01 3.311427544205152174e+00
-3.352333874996198659e+01 8.860662967384519106e+01 -8.860591059179012063e+01 -3.569738892954119613e-01
-4.045704832883385649e+01 9.467696179007693047e+01 -9.452021797305457085e+01 -5.445685276063793268e+00
-4.902703887653878922e+01 1.011812957211872686e+02 -1.004308109879563347e+02 -1.230068323792365348e+01
-5.928179170728219560e+01 1.078889192813845312e+02 -1.057861120393107370e+02 -2.119710837146194748e+01
-7.097501775842727056e+01 1.144298899346285765e+02 -1.098111589292851704e+02 -3.218243441783862124e+01
-8.344327631380977550e+01 1.203251444248945319e+02 -1.116370603249817606e+02 -4.489217240085523031e+01
-9.564192942128670438e+01 1.251022181411552765e+02 -1.105983691000525369e+02 -5.846850208655720849e+01
-1.064466517796755625e+02 1.284799818786484593e+02 -1.065827173068626337e+02 -7.174419917333557351e+01
-1.151178393445602808e+02 1.305260072318958464e+02 -1.001658440890320350e+02 -8.368896129020035346e+01
-1.216132061588289872e+02 1.316755563632956694e+02 -9.236548077485538499e+01 -9.384599141579397497e+01
-1.265326710862893407e+02 1.326023568513118107e+02 -8.417153035991536569e+01 -1.024623761162724662e+02
-1.308003780599786694e+02 1.340408022674633912e+02 -7.616054688130388683e+01 -1.103018937790549927e+02
-1.353278366192618023e+02 1.366571948170636972e+02 -6.832498642859189886e+01 -1.183506870482872984e+02
-1.407662585301908393e+02 1.409856766898723777e+02 -6.002210404056404514e+01 -1.275707962593513543e+02
-1.472611560567016795e+02 1.473709039235997693e+02 -4.989265398564803888e+01 -1.386683323672974382e+02
-1.539982069032812433e+02 1.558125340228550897e+02 -3.570650638174090830e+01 -1.516660514440659711e+02
-1.583283341192388036e+02 1.655703980569854536e+02 -1.440511811345895055e+01 -1.649425635937731727e+02
-1.547900242287305730e+02 1.744731265954483206e+02 1.665679673513745485e+01 -1.736762016699917694e+02
-1.363219581456170886e+02 1.785155586300695063e+02 5.579713352235906143e+01 -1.695714733193464383e+02
-1.010584460985048310e+02 1.735155168742498120e+02 9.292121061412200334e+01 -1.465376511827047636e+02
-5.859550681288411056e+01 1.589752104942458288e+02 1.150713375762626640e+02 -1.096891280852372006e+02
-2.228490164525013029e+01 1.390004484508658038e+02 1.188638102946591175e+02 -7.205913732329227628e+01
2.208201302965242974e+00 1.184340061944722748e+02 1.106182165235263284e+02 -4.231103870654258969e+01
1.642624144204102876e+01 9.997919645201935168e+01 9.759278557686461397e+01 -2.171377273850874801e+01
2.382853279977238969e+01 8.437204223822355686e+01 8.397006040659798032e+01 -8.226206097641034276e+00
2.718954045432843358e+01 7.141120221484341357e+01 7.140963240177148919e+01 4.734997498672102179e-01
2.824688467176295248e+01 6.061900499067792225e+01 6.031152886918979306e+01 6.097807107536384663e+00
2.798841980708576216e+01 5.151292143881045860e+01 5.058177802988772953e+01 9.750118281140236931e+00
2.694709595772450683e+01 4.368527742002457614e+01 4.197482286914801364e+01 1.210444994075145075e+01
2.539211549080712871e+01 3.681217776612722759e+01 3.422418938627859575e+01 1.355880867691137937e+01
2.343661286389258436e+01 3.064375146789828719e+01 2.708439880250301002e+01 1.433439379720299911e+01
2.109344266465527795e+01 2.499774039491812516e+01 2.033961954945137762e+01 1.453227103502053019e+01
1.830024552134044669e+01 1.977467682874282673e+01 1.380239817947967751e+01 1.416091975036630402e+01
1.492563794436668267e+01 1.504074571633051960e+01 7.313251127808286789e+00 1.314307382787320932e+01
1.076330799330718690e+01 1.133075331452044665e+01 7.490457154750949087e-01 1.130596750351974578e+01
5.520595959355546256e+00 1.025842122911200782e+01 -5.948643246459096368e+00 8.357562422157103654e+00
-1.183956170857906276e+00 1.327728818897949559e+01 -1.270496353997915939e+01 3.856200604353283268e+00
-9.774472866241652014e+00 1.937273253494984360e+01 -1.916975254142732155e+01 -2.797025808094176114e+00
-2.052770138408397571e+01 2.736734224658615133e+01 -2.447119709654647934e+01 -1.225283372545936622e+01
-3.307875541023616961e+01 3.660871271755284084e+01 -2.693364677297227416e+01 -2.479468730081255146e+01
-4.560072059396487987e+01 4.624014430155046540e+01 -2.418756173280585386e+01 -3.940955217266387223e+01
-5.446486713066676089e+01 5.483229901472638801e+01 -1.452721027500757067e+01 -5.287287751641742517e+01
-5.607369150236265654e+01 6.077803175575272832e+01 7.330861448890360066e-01 -6.077361046381446386e+01
-5.010431831126549440e+01 6.330425415689674651e+01 1.710417145552603202e+01 -6.094978189609005881e+01
-3.972126855255949351e+01 6.290954781570076904e+01 3.035144498486357989e+01 -5.510354792303976978e+01
-2.851910557551412495e+01 6.072131362401029264e+01 3.902034288116819738e+01 -4.652408805835407435e+01
-1.853127569873857539e+01 5.773589377158138092e+01 4.375751665652804689e+01 -3.766580897388239890e+01
-1.036143483439965607e+01 5.456779503058501746e+01 4.579245039054362820e+01 -2.967651835592477383e+01
-3.911334245631490347e+00 5.152194467487196761e+01 4.616724928094627955e+01 -2.287128935830975607e+01
1.132652394208674806e+00 4.872174672820077035e+01 4.558610741193614757e+01 -1.719637796962962284e+01
5.091521117615579684e+00 4.619968979635209649e+01 4.448199827886902114e+01 -1.248051146379238574e+01
8.230786234175532456e+00 4.394751316264117946e+01 4.310971750543956205e+01 -8.540267547431827921e+00
1.075376656944146703e+01 4.194108286251866957e+01 4.161554288993347228e+01 -5.215459870113559937e+00
1.281156705339648028e+01 4.015191230559008062e+01 4.008153438264382373e+01 -2.376270887070075055e+00
1.451544728953228969e+01 3.855212994483187572e+01 3.855204823076752518e+01 7.937566237379933831e-02
1.594735436843065557e+01 3.711636086658168665e+01 3.704925514497148953e+01 2.230905013916999913e+00
1.716791754878201104e+01 3.582220663055283438e+01 3.558216295341552637e+01 4.140068530665566016e+00
1.822223831123085702e+01 3.465012132070270923e+01 3.415185246991141810e+01 5.855073049315588918e+00
1.914399608679671871e+01 3.358305357389655654e+01 3.275449943512781203e+01 7.413788107399499339e+00
1.995832557512283145e+01 3.260601992302030538e+01 3.138308494738639354e+01 8.846158172083892879e+00
2.068380772658761657e+01 3.170567775907482755e+01 3.002831042144193674e+01 1.017598031620609689e+01
2.133381262909306741e+01 3.086992035898595788e+01 2.867901076187166964e+01 1.142218563544581400e+01
2.191735013088516126e+01 3.008749476003521650e+01 2.732222978818359138e+01 1.259972620086801598e+01
2.243951975150044120e+01 2.934763281508437416e+01 2.594304427681149150e+01 1.372013139515856750e+01
2.290159827353531341e+01 2.863968029686070338e+01 2.452417440606751242e+01 1.479175977384619323e+01
2.330075361370509768e+01 2.795270554723954248e+01 2.304538635361384280e+01 1.581973183158757479e+01
2.362931874515543029e+01 2.727506694218683947e+01 2.148267127725359416e+01 1.680547861544671306e+01
2.387348956355302221e+01 2.659391818847762323e+01 1.980717336336744694e+01 1.774577042477863387e+01
2.401121266480334526e+01 2.589463594391281376e+01 1.798384487959966904e+01 1.863098210010084799e+01
2.400888624083617984e+01 2.516017581392247138e+01 1.596984911630336157e+01 1.944218007811866045e+01
2.381629162065374672e+01 2.437042692330510008e+01 1.371286425864163405e+01 2.014634116280728193e+01
2.335890016331847363e+01 2.350180902003222627e+01 1.114978258426375568e+01 2.068858080047340664e+01
2.252642643577723902e+01 2.252780923959502601e+01 8.207120904608117939e+00 2.097964145529488178e+01
2.115654179112447508e+01 2.142231692119900544e+01 4.806346555807129661e+00 2.087617529763941704e+01
1.901411753367198187e+01 2.017053035127175775e+01 8.814387091020909892e-01 2.015126200647670629e+01
1.577243685568507559e+01 1.879908788819960819e+01 -3.575863434126413942e+00 1.845586373293677340e+01
1.102127849209544941e+01 1.744988328561180779e+01 -8.415089918922735279e+00 1.528674878245597668e+01
4.369923902189271736e+00 1.652282221459507028e+01 -1.313718347699394151e+01 1.002088140968217012e+01
-4.228751006599903661e+00 1.678217242475128401e+01 -1.664219400674654992e+01 2.163027955411475300e+00
-1.387589428613882703e+01 1.896597977686785441e+01 -1.718588086847250196e+01 -8.022087488380520881e+00
-2.232127111826330434e+01 2.290901277323282059e+01 -1.314220007334113305e+01 -1.876447290697015191e+01
-2.687543685172083130e+01 2.752223694033833823e+01 -4.567989759132982108e+00 -2.714050470718222385e+01
-2.645442898732378723e+01 3.169360242596636468e+01 6.273209708683785912e+00 -3.106656200299763526e+01
-2.223579463341512152e+01 3.490019361627694394e+01 1.661127659399687317e+01 -3.069346843175840078e+01
-1.623580332314129748e+01 3.716442782688952917e+01 2.491411231431041884e+01 -2.757683272767209459e+01
-9.962938802493406243e+00 3.873710439901284275e+01 3.097600238660964322e+01 -2.326049297338243704e+01
-4.154836322119020764e+00 3.987603505119114544e+01 3.521474635442401535e+01 -1.870881638686439530e+01
9.606764312582427578e-01 4.077357114190571963e+01 3.815397784138654913e+01 -1.437908476027008042e+01
5.396532275379813726e+00 4.155724009341912506e+01 4.022652053261268890e+01 -1.043222172029390293e+01
9.252097396904595428e+00 4.230857494015467779e+01 4.174426644635553174e+01 -6.887069937379758144e+00
1.264392050637841969e+01 4.308033039172680390e+01 4.292078355035360460e+01 -3.704214637954375000e+00
1.568013081865547953e+01 4.390843394390783772e+01 4.390067414945314539e+01 -8.254578305731516963e-01
1.845381060441366117e+01 4.481960989769471837e+01 4.478306584238791288e+01 1.809542798024835530e+00
2.104366771257141266e+01 4.583619260703361675e+01 4.563804830121662803e+01 4.257358331747637337e+00
2.351709736213243573e+01 4.697929239818685687e+01 4.651767020951720610e+01 6.569647822595440445e+00
2.593378160730818749e+01 4.827108083898244928e+01 4.746326347924908617e+01 8.794081263154144068e+00
2.834927202966711235e+01 4.973669188131840713e+01 4.851042975572335081e+01 1.097618896576744518e+01
3.081854107124001274e+01 5.140608347479250995e+01 4.969259058853530320e+01 1.316175743651083607e+01
3.339973117984548878e+01 5.331613695129405528e+01 5.104367788758518998e+01 1.539978594388862732e+01
3.615848544155627309e+01 5.551326352038741163e+01 5.260030372064868942e+01 1.774628060128340223e+01
3.917340823017009654e+01 5.805682286897957312e+01 5.440353928905661007e+01 2.026942511429822602e+01
4.254343692026226620e+01 6.102372329847298715e+01 5.650016177091473679e+01 2.305702767203657544e+01
4.639823764474095924e+01 6.451463173905291626e+01 5.894272904002706781e+01 2.622770294439762750e+01
5.091313523730160284e+01 6.866216866406553265e+01 6.178676177523512081e+01 2.994811304544791497e+01
5.633026217575853423e+01 7.364097312086111913e+01 6.508084822639784761e+01 3.445977533763036149e+01
6.298637521479068369e+01 7.967765983387940310e+01 6.883984068034624215e+01 4.011989296730420307e+01
7.134101490845367266e+01 8.705289275573608165e+01 7.297879838094009131e+01 4.745841468081065528e+01
8.197366322257224169e+01 9.607173359254413469e+01 7.716058655832381419e+01 5.723654319970933102e+01
9.544337791102161361e+01 1.069402036210365310e+02 8.047790753901698224e+01 7.042381378944331516e+01
1.117410795527227663e+02 1.194247013619909836e+02 8.093499222589852593e+01 8.781677703488369957e+01
1.290002885466416842e+02 1.322093975672177919e+02 7.516869888867020677e+01 1.087611673000574513e+02
1.422928398916351966e+02 1.424804175398454333e+02 6.008034479747138334e+01 1.291937365019900881e+02
1.461694019152148485e+02 1.473943937979797170e+02 3.717339673306079817e+01 1.426297510984310293e+02
1.408973971815670723e+02 1.472315074077795032e+02 1.317134566144166463e+01 1.466411689364001631e+02
1.321048923578877350e+02 1.455717896299230745e+02 -7.210845199536288774e+00 1.453930866567145301e+02
1.237484751745223264e+02 1.459601598672662419e+02 -2.540657538142493621e+01 1.437319525918502734e+02
1.144644372022982139e+02 1.495171186735710478e+02 -4.631027398030065001e+01 1.421644375373680589e+02
9.748044153890862162e+01 1.537321321779535026e+02 -7.370164339375449458e+01 1.349134397494912605e+02
6.534887022287233549e+01 1.516942620891373110e+02 -1.024481834194712349e+02 1.118727798207332569e+02
2.485128083210017280e+01 1.370802893381881233e+02 -1.156831132607721031e+02 7.354198142106824321e+01
-4.559632751859460598e+00 1.135427091116327460e+02 -1.068981148806473840e+02 3.827191956738993639e+01
-1.700058410161570421e+01 8.992236209631414567e+01 -8.823950233763640938e+01 1.731535249964301926e+01
-1.900836897628470012e+01 7.061499589489550033e+01 -7.017706725652696775e+01 7.852189281276766408e+00
-1.662108334472495130e+01 5.591741685305682097e+01 -5.572875678653950615e+01 4.589463426725341577e+00
-1.279900114688416402e+01 4.490034836122855211e+01 -4.469827016769615824e+01 4.255105988729647848e+00
-8.716020856748288637e+00 3.663735087442447025e+01 -3.625936234127132707e+01 5.249202006027800849e+00
-4.779812411508614467e+00 3.046027997409247234e+01 -2.968294656133222276e+01 6.837495121548139210e+00
-1.098976538737819197e+00 2.593788043658748421e+01 -2.443927182266040887e+01 8.688822378252682554e+00
2.328844621077884369e+00 2.280451734162687316e+01 -2.016103635329982069e+01 1.065732726087942694e+01
5.543970638324825728e+00 2.088661671635661676e+01 -1.659427038301100410e+01 1.268388537915379999e+01
8.597072183770809062e+00 2.003750212826367871e+01 -1.356104274444725988e+01 1.475125795393212158e+01
1.153939983188944751e+01 2.009812617226642928e+01 -1.093435403983896137e+01 1.686340942300216739e+01
1.442005773410576275e+01 2.089744367284274418e+01 -8.621790605742845059e+00 1.903596277602894560e+01
1.728606281292605473e+01 2.227815807696419270e+01 -6.554952518115934268e+00 2.129199203427078402e+01
2.018351335506414301e+01 2.411944289335461278e+01 -4.682630876303430334e+00 2.366052606266572411e+01
2.315923611883388133e+01 2.634412668685270376e+01 -2.966474489625556821e+00 2.617657426011558286e+01
2.626271659506155132e+01 2.891504079927224780e+01 -1.378412035700117499e+00 2.888216689729868136e+01
2.954830588304156791e+01 3.182841360772263428e+01 1.005371850339180639e-01 3.182825482269941730e+01
3.307778253246275568e+01 3.510873739027318408e+01 1.480137777066612870e+00 3.507752319221051351e+01
3.692337856685627884e+01 3.880654883902902696e+01 2.759273271820930518e+00 3.870832783532969756e+01
4.117135353031530087e+01 4.299934463521822181e+01 3.922119789949658042e+00 4.282009592949968635e+01
4.592605929786785168e+01 4.779566872608497619e+01 4.930901824928415778e+00 4.754063689273183257e+01
5.131400967205410524e+01 5.334259616457726594e+01 5.712858798264367266e+00 5.303579743841197569e+01
5.748631261136068815e+01 5.983701571970257760e+01 6.137013270572985846e+00 5.952147107016714500e+01
6.461483424768323403e+01 6.754085531460279412e+01 5.972588570113671835e+00 6.727626121003051196e+01
7.286989564358404436e+01 7.679865540935847434e+01 4.814304511123555841e+00 7.664760886524484818e+01
8.234856978444659603e+01 8.804967931090185118e+01 1.949629835639111519e+00 8.802809193806623966e+01
9.287875817836611247e+01 1.018078302595525031e+02 -3.864796563430894949e+00 1.017344467212612642e+02
1.035370717180359605e+02 1.185313835112369247e+02 -1.471664415339937193e+01 1.176142391972593799e+02
1.116360620745619769e+02 1.381925833989463683e+02 -3.370223637613638346e+01 1.340199588483811510e+02
1.113379852493159206e+02 1.592518045693473709e+02 -6.386483681406897261e+01 1.458849542526779715e+02
9.440687806175239416e+01 1.772680782774030774e+02 -1.037470987565166922e+02 1.437376466892688427e+02
5.829183919388022872e+01 1.856457747296339846e+02 -1.415858351638728436e+02 1.200741643981528455e+02
1.494932689063666231e+01 1.811222215216177176e+02 -1.617604905629751499e+02 8.147884892259823175e+01
-1.954444750991621049e+01 1.674200042898768288e+02 -1.614892441606468196e+02 4.416652416531524494e+01
-4.002589946244874142e+01 1.507425771348755745e+02 -1.497430086667955322e+02 1.733077945967558264e+01
-4.979424976241037371e+01 1.350446437496567285e+02 -1.350419329743140224e+02 8.556541547717051444e-01
-5.333929099540627305e+01 1.217568657198281130e+02 -1.214630134325465889e+02 -8.454035592618508232e+00
-5.373559441394435510e+01 1.110283403063923089e+02 -1.102135201702694616e+02 -1.342655290346957209e+01
-5.271337781815379486e+01 1.025739600990586951e+02 -1.013321993252585429e+02 -1.591234333180871729e+01
-5.118479058270578008e+01 9.603452386791407491e+01 -9.451460630131299467e+01 -1.701819526990936282e+01
-4.962661629740092906e+01 9.109484530440525418e+01 -8.941826109098981590e+01 -1.739670728894121865e+01
-4.829678435070275100e+01 8.750965306888504358e+01 -8.575359521285639630e+01 -1.744305845619379980e+01
-4.734911009367188939e+01 8.509996325366192593e+01 -8.329951748422936930e+01 -1.741247060784813527e+01
-4.689444805839416119e+01 8.374247848007713912e+01 -8.189584751883552372e+01 -1.748922128506085016e+01
-4.703521591791803758e+01 8.335910145599996213e+01 -8.143008367398061864e+01 -1.782922512057690767e+01
-4.788719722909304721e+01 8.390804653660624979e+01 -8.182294845778615411e+01 -1.858938888892666341e+01
-4.959539158570514417e+01 8.537589374586919178e+01 -8.301197068898422060e+01 -1.995133968527353119e+01
-5.234626185066616699e+01 8.776870529821660227e+01 -8.492943634929815744e+01 -2.214354242472753143e+01
-5.637447265671193009e+01 9.109889065760475546e+01 -8.746812899950600695e+01 -2.546240931985823153e+01
-6.195553825705647455e+01 9.536225097371422521e+01 -9.042479600642296589e+01 -3.028721145913656443e+01
-6.936366228888479668e+01 1.004965044096291251e+02 -9.340909501325180031e+01 -3.707139554103547852e+01
-7.875515545309949061e+01 1.063104908932069463e+02 -9.571342439087078446e+01 -4.626943770273958023e+01
-8.992395985577491047e+01 1.123798908451941401e+02 -9.617940958303476862e+01 -5.812711104671029005e+01
-1.019206224429620704e+02 1.179389405775887525e+02 -9.320348336927574451e+01 -7.226828067968095581e+01
-1.127357900904548842e+02 1.218746786398076125e+02 -8.516407680630535992e+01 -8.718094582697584372e+01
-1.195915674413383698e+02 1.229938250501862314e+02 -7.143657315427635979e+01 -1.001214113786333826e+02
-1.202458356861428115e+02 1.205828287477932008e+02 -5.339765106668109240e+01 -1.081152600208712187e+02
-1.144821657433147806e+02 1.148698616652141169e+02 -3.414272801001953894e+01 -1.096784356335339794e+02
-1.041782944792492032e+02 1.069030789377553958e+02 -1.678986435428780766e+01 -1.055763645014194196e+02
-9.192317879045300799e+01 9.796164029902450920e+01 -3.039042324696200836e+00 -9.791448918226642206e+01
-7.972794293732614790e+01 8.905409726070045906e+01 6.919192832524604597e+00 -8.878489178607269139e+01
-6.866060584069296624e+01 8.076888182254231197e+01 1.371821852187385460e+01 -7.959536890705339829e+01
-5.907393702946757941e+01 7.335605975024580516e+01 1.819375408518028436e+01 -7.106404726983693365e+01
-5.093391247316294823e+01 6.686146326640697168e+01 2.108081710366202444e+01 -6.345119715471914645e+01
-4.404783741940367037e+01 6.123052314354561076e+01 2.293430753459105986e+01 -5.677318471198418592e+01
-3.818328552524110364e+01 5.637025065153936509e+01 2.414527322117813313e+01 -5.093732363986188716e+01
-3.311823119731387521e+01 5.218110596699706605e+01 2.498174836892058437e+01 -4.581244447059020075e+01
-2.865623615072362185e+01 4.857151068927320381e+01 2.562701159479160395e+01 -4.126073105700621824e+01
-2.462605849825659377e+01 4.546359046239621904e+01 2.620857030649256103e+01 -3.714900941104783527e+01
-2.087495556395158758e+01 4.279509513885383853e+01 2.681828809000101543e+01 -3.334965654793555956e+01
-1.725945429047084190e+01 4.052025729901068019e+01 2.752564767441601035e+01 -2.973600463549104234e+01
-1.363461994311905023e+01 3.861131960587233891e+01 2.838581401287911632e+01 -2.617402461474080511e+01
-9.841463457243715851e+00 3.706224280149569950e+01 2.944319190603106406e+01 -2.251018195976315539e+01
-5.691341085152650692e+00 3.589654564161230610e+01 3.072969750737444627e+01 -1.855391279772599233e+01
-9.458139082290557553e-01 3.518232772582485524e+01 3.225438845015698064e+01 -1.405171199227069856e+01
4.708965643557206704e+00 3.505920955193309396e+01 3.397579407934328799e+01 -8.648328802977978569e+00
1.168993466438722884e+01 3.578327079618873086e+01 3.573642282981771956e+01 -1.830451365607942193e+00
2.052548512664563063e+01 3.779329732326202418e+01 3.711210341657677247e+01 7.143185743195772375e+00
3.175855659191297420e+01 4.178425443386414884e+01 3.707334436085861995e+01 1.927410326046553024e+01
4.545275140055070295e+01 4.871742038411294118e+01 3.328396447381478396e+01 3.557477698859429438e+01
5.952455856724998995e+01 5.953965321734307992e+01 2.105530104628333277e+01 5.569241064177283107e+01
6.614928905278824800e+01 7.407030279281877938e+01 -6.120190559174684353e+00 7.381702393986935817e+01
5.149747822803271191e+01 8.895837918835134417e+01 -4.796375469713674278e+01 7.492043421638314271e+01
1.302375173521153329e+01 9.848370481743521054e+01 -8.563175348561125588e+01 4.864404289887114174e+01
-2.929399777268731953e+01 1.008827940538019732e+02 -1.004803478648914847e+02 9.002101368692734695e+00
-5.970277136367348447e+01 9.936517205597660052e+01 -9.601063274244613410e+01 -2.560069956288234749e+01
-7.778403677720557141e+01 9.704045770615846322e+01 -8.293500779877510354e+01 -5.038486789937869759e+01
-8.768916646949708138e+01 9.519794183482599692e+01 -6.720805446056527899e+01 -6.742199600436495643e+01
-9.241397075425976482e+01 9.404681680723784609e+01 -5.079715868658716715e+01 -7.914829385996792155e+01
-9.337749058830658555e+01 9.338204453825056817e+01 -3.412475422324028784e+01 -8.692357212716960646e+01
-9.109289517021053939e+01 9.287723429689840771e+01 -1.732520079794315748e+01 -9.124701676192988486e+01
-8.576211276411434881e+01 9.220837201205674205e+01 -7.224189386428960802e-01 -9.220554202427823043e+01
-7.767411785237348454e+01 9.112444692534734259e+01 1.508184560293820198e+01 -8.986769586820160782e+01
-6.739663480346543167e+01 8.949349193721178608e+01 2.934476568616275927e+01 -8.454566710328801094e+01
-5.575486804759394488e+01 8.731700777322760132e+01 4.141933436586951700e+01 -7.686805960318102393e+01
-4.365685201631669088e+01 8.470704064056360494e+01 5.095047565733288053e+01 -6.767076003986969113e+01
-3.188925440918960774e+01 8.183782182959302531e+01 5.793510799198127614e+01 -5.780097182374773013e+01
-2.099088693665741090e+01 7.889487237535996655e+01 6.265011115940722419e+01 -4.795168880069038408e+01
-1.123333394388465933e+01 7.603938058802422972e+01 6.552082757013488390e+01 -3.858767361133668317e+01
-2.674060899699821192e+00 7.339264173741143793e+01 6.700156913128397207e+01 -2.995445868550793733e+01
4.767459976029382318e+00 7.103577376879410110e+01 6.750064574962952690e+01 -2.213015992518620578e+01
