TFA AMA INC
-2.271660281959727712e+01 8.539239449002079141e+01 -1.780412624376323834e+02
-3.129743084135173703e+01 8.954130620686400732e+01 -1.727815326608659348e+02
-4.107402268667281930e+01 9.284184599410950511e+01 -1.666973215935074677e+02
-5.099569360270952245e+01 9.462026904703344599e+01 -1.599922920212307247e+02
-5.952586861073591962e+01 9.436870933317503329e+01 -1.530773844279200091e+02
-6.533443335077983249e+01 9.207953591008923411e+01 -1.465075933958620169e+02
-6.807138997363102817e+01 8.836253152421720358e+01 -1.408074596144348618e+02
-6.847811528592951902e+01 8.420009750252805247e+01 -1.362792742868833216e+02
-6.782451177957290156e+01 8.055346578930426915e+01 -1.329034236901977124e+02
-6.730248380706011346e+01 7.810168944349327091e+01 -1.303536040191292784e+02
-6.774227836868702468e+01 7.716848130238943781e+01 -1.280873799905104704e+02
-6.955538206141619639e+01 7.773814448473690675e+01 -1.254728338312657172e+02
-7.269114564955114588e+01 7.947144346901484369e+01 -1.219233196743399503e+02
-7.650718654972777699e+01 8.169988147654109412e+01 -1.170211880472979402e+02
-7.966146611021176227e+01 8.345764288144090415e+01 -1.106250712502693716e+02
-8.037482786458073747e+01 8.367988157793165271e+01 -1.029447149559364192e+02
-7.731499872918003291e+01 8.161957118249625864e+01 -9.452037825892919898e+01
-7.053803619286264848e+01 7.723133817454849748e+01 -8.604952870509144702e+01
-6.143474281876436294e+01 7.113672559350185054e+01 -7.813593244079652322e+01
-5.173857963711145658e+01 6.420252104398083759e+01 -7.113345108508478631e+01
-4.268709068299445164e+01 5.714514820383475069e+01 -6.515359817469892789e+01
-3.485128627407670621e+01 5.039266265533122890e+01 -6.016174558381480608e+01
-2.834424141006868680e+01 4.413006200085653319e+01 -5.607299019898666614e+01
-2.306106346748788383e+01 3.839252322927554673e+01 -5.281635132186298165e+01
-1.883028753287032586e+01 3.314069565622426694e+01 -5.037571943074033953e+01
-1.548610157017120237e+01 2.830776274240147217e+01 -4.882803130693682192e+01
-1.289580298987734608e+01 2.382777251997924139e+01 -4.840446485799223098e+01
-1.096731292978588890e+01 1.965881193075441402e+01 -4.961687573042802768e+01
-9.649962435877107225e+00 1.581975221668449905e+01 -5.353286553992710850e+01
-8.934735258224833387e+00 1.247927201282288934e+01 -6.229762481950278641e+01
-8.856745454546622653e+00 1.016421796875845729e+01 -7.921183172469748968e+01
-9.501170732163201293e+00 9.890161608583293074e+00 -1.036225680398920161e+02
-1.101274568051649183e+01 1.222629867328271303e+01 -1.244670822022324757e+02
-1.360676248150386414e+01 1.660104361182241561e+01 -1.355601273738178350e+02
-1.757382169608795053e+01 2.241429607028872084e+01 -1.394192351424650838e+02
-2.325669470357229329e+01 2.943007795361887702e+01 -1.387752540007337245e+02
-3.095013295976505674e+01 3.754369653521550987e+01 -1.350135621589965638e+02
-4.064186859684138398e+01 4.654296378248369592e+01 -1.287592690976361212e+02
-5.154967173590296170e+01 5.588974669483577173e+01 -1.203624066964168406e+02
-6.169924192040634381e+01 6.458952280044255190e+01 -1.102245704862953204e+02
-6.829728493489545826e+01 7.137578888779979991e+01 -9.899538825532691533e+01
-6.933762031335098186e+01 7.530161765910747818e+01 -8.754487467288753066e+01
-6.505009543427792096e+01 7.627649477426466262e+01 -7.670288181750015610e+01
-5.743534739477491513e+01 7.497910602508179068e+01 -6.699476932785489680e+01
-4.867884928532174627e+01 7.232897132886657232e+01 -5.858798165591237250e+01
-4.020733768903345151e+01 6.907793332479003823e+01 -5.140810105368409211e+01
-3.265912353619363273e+01 6.570026290778150724e+01 -4.527665926996100865e+01
-2.618715678755213361e+01 6.244625650570351638e+01 -3.999824541043471982e+01
-2.072122778808027377e+01 5.942592342545308526e+01 -3.539858978729430561e+01
-1.611626197528334359e+01 5.667250928270840404e+01 -3.133489816935081862e+01
-1.221968923463524348e+01 5.418109972110007533e+01 -2.769439037336822906e+01
-8.896469262786965260e+00 5.192969238754602657e+01 -2.438917330063391375e+01
-6.035234071707266779e+00 4.988994344798018687e+01 -2.135079609734183492e+01
-3.547111784377907640e+00 4.803230231678858786e+01 -1.852558880864408408e+01
-1.362318553840207613e+00 4.632822318344140911e+01 -1.587098335066623811e+01
5.734506826121208434e-01 4.475089329258415205e+01 -1.335270920865977295e+01
2.302129574348776408e+00 4.327522161764326114e+01 -1.094268607959703132e+01
3.855717492138098557e+00 4.187745913781775187e+01 -8.617448503971971263e+00
5.258068351912473126e+00 4.053462522296397452e+01 -6.356973982391482814e+00
6.526099718448799436e+00 3.922380948872105932e+01 -4.143826393196132329e+00
7.670479199651357050e+00 3.792135938211507096e+01 -1.962567671741966224e+00
8.695808876776634833e+00 3.660192630665618907e+01 2.005617097479331368e-01
9.600277812905893882e+00 3.523731402769713128e+01 2.357624721548555957e+00
1.037468655687337105e+01 3.379504519817757568e+01 4.518444542910904360e+00
1.100065853501053326e+01 3.223653235605313228e+01 6.689111487723197413e+00
1.144772933822779848e+01 3.051471282052829537e+01 8.868598287479649400e+00
1.166883276913974399e+01 2.857100501792523772e+01 1.104132050687498712e+01
1.159347835813715655e+01 2.633154653614951712e+01 1.316033539866026914e+01
1.111768262607045088e+01 2.370315665258108240e+01 1.510688026897327774e+01
1.008968313786870397e+01 2.057136338531890729e+01 1.658242911509123019e+01
8.291329672641735371e+00 1.681082016994427164e+01 1.677277382197700817e+01
5.418835879371250996e+00 1.236098398023629485e+01 1.303249385312552278e+01
1.078352978096336567e+00 7.758268253966200234e+00 -5.798261484081292494e+00
-5.158773289604200230e+00 7.367984103618841374e+00 -6.090278430767123297e+01
-1.354399616423933672e+01 1.470479935071104727e+01 -8.759954121351456990e+01
-2.366701709340070181e+01 2.552097530646345191e+01 -8.897614285553076741e+01
-3.383479070522832899e+01 3.790046550513162771e+01 -8.243400239576919830e+01
-4.115807870994081696e+01 5.023051778717626803e+01 -7.264534691285246026e+01
-4.321374164382129379e+01 6.083746258305757237e+01 -6.179460659673754463e+01
-3.990998341607078714e+01 6.874611489319610769e+01 -5.129454294012887772e+01
-3.316103781973292541e+01 7.400422522090265431e+01 -4.191944312178004139e+01
-2.512846531041630271e+01 7.726543470027647231e+01 -3.390400475799707181e+01
-1.719288346601818063e+01 7.926103161296511246e+01 -2.716613306252699545e+01
-9.949280924468638432e+00 8.055407579904272097e+01 -2.150349912098227279e+01
-3.530771183171594885e+00 8.151386314782686782e+01 -1.670111930056596705e+01
2.132876870723912077e+00 8.236558835534313516e+01 -1.257240529335114410e+01
7.177728976864219845e+00 8.324307801258642314e+01 -8.967569064845246629e+00
1.174659598991357967e+01 8.422642313883042675e+01 -5.769903648612056735e+00
1.596853216027165701e+01 8.536553289741749495e+01 -2.889071925745578806e+00
1.995474487976050781e+01 8.669417861761311883e+01 -2.547004700210543371e-01
2.380063611075997088e+01 8.823829884300673143e+01 2.188845125299250238e+00
2.758969466404634474e+01 9.002101517797467523e+01 4.486487538409166476e+00
3.139764844654970943e+01 9.206582877429184464e+01 6.675495307404784917e+00
3.529641692827874522e+01 9.439886227712709399e+01 8.787825841530912285e+00
3.935785973842932606e+01 9.705066611424149414e+01 1.085197476197893707e+01
4.365749929935869034e+01 1.000579203016818042e+02 1.289451137566803141e+01
4.827847900764905376e+01 1.034652687968201406e+02 1.494144956900536414e+01
5.331607960577262872e+01 1.073274854250476835e+02 1.701958848956514458e+01
5.888318847694104363e+01 1.117121671663580855e+02 1.915796034878771437e+01
6.511721246192431067e+01 1.167031675167192049e+02 2.138954729157086376e+01
7.218903753290156544e+01 1.224050019523015749e+02 2.375348349114048219e+01
8.031471749937020377e+01 1.289484407734503577e+02 2.629805777635542441e+01
8.977044448152688005e+01 1.364973514977905893e+02 2.908500390696939775e+01
1.009104867768237739e+02 1.452562940996642737e+02 3.219585781835178295e+01
1.141846264039889149e+02 1.554766795361122149e+02 3.574164963919923821e+01
1.301417110154106922e+02 1.674544928340231422e+02 3.987797815305287941e+01
1.493764364876678599e+02 1.814992473879070474e+02 4.482858829834047043e+01
1.722921255657175834e+02 1.978175555909591594e+02 5.092125591369430282e+01
1.983294068063713382e+02 2.161610126380672625e+02 5.863617839927401576e+01
2.238580189615373399e+02 2.348872276917035151e+02 6.864290435148254232e+01
2.379145455470606123e+02 2.489309127838966731e+02 8.170733343729429521e+01
2.201433198693329985e+02 2.475913020414899393e+02 9.813793517923451759e+01
1.594567414701525081e+02 2.187817521024773271e+02 1.165376386802173982e+02
8.539384196645011116e+01 1.637880493208296286e+02 1.330158621615947538e+02
4.064993666100465219e+01 9.991453326110689659e+01 1.408280244008573732e+02
3.707439552932846993e+01 5.242162434094243650e+01 1.184774938368933874e+02
6.620003285075290478e+01 6.898928391311982011e+01 7.309780801962615726e+01
1.129592617300583726e+02 1.180167587758881353e+02 7.094988255796116050e+01
1.526835580753638624e+02 1.603526097336834368e+02 8.352421566958471999e+01
1.605230269984085396e+02 1.824626969243630867e+02 9.957164657222591586e+01
1.372838978327297923e+02 1.833563013060998799e+02 1.146817158486376655e+02
1.031050256770567017e+02 1.713588551675227905e+02 1.271052624487979728e+02
7.232667934050378733e+01 1.547208711368350578e+02 1.367665894044125423e+02
4.893712624416227897e+01 1.378603582964972531e+02 1.441985258136584207e+02
3.225915258736787194e+01 1.224345875586298291e+02 1.499652462400348156e+02
2.062819641668751203e+01 1.088240199535448625e+02 1.545034003043092810e+02
1.257810068744169385e+01 9.693402044025019393e+01 1.581205443073099843e+02
7.038094776785381868e+00 8.653094343630392871e+01 1.610263851875992032e+02
3.270417135034474398e+00 7.736644620189952093e+01 1.633611583379711192e+02
7.751357305688255650e-01 6.921746717896537859e+01 1.652151433223130539e+02
-7.858668737287555217e-01 6.189488837310958047e+01 1.666402833317475256e+02
-1.641447001141100870e+00 5.524158194823688461e+01 1.676554369624232663e+02
-1.945771906255833628e+00 4.912771869389875690e+01 1.682458012587631515e+02
-1.800578213396661909e+00 4.344636959806309306e+01 1.683554743067868458e+02
-1.269215322448523864e+00 3.811085505985816013e+01 1.678696142185700637e+02
-3.851106133804824694e-01 3.305536251004889436e+01 1.665778762292665078e+02
8.437820067305814575e-01 2.824204693349215134e+01 1.641009132206399954e+02
2.433762917731897346e+00 2.368287953638713006e+01 1.597424696919251801e+02
4.427222760018120873e+00 1.949800077135273924e+01 1.522119541671087291e+02
6.897946494926493699e+00 1.605956044096631175e+01 1.393258124572482188e+02
9.960994342601495077e+00 1.423426570856426387e+01 1.191295132900244482e+02
1.378921465207127461e+01 1.522129672135173806e+01 9.532652995773024429e+01
1.863973937495235589e+01 1.940439398449333197e+01 7.675374818992982284e+01
2.489520586314619877e+01 2.630371949422083588e+01 6.600136156655679542e+01
3.312398902806759793e+01 3.567697604196020933e+01 6.099221916315916303e+01
4.415243987614870491e+01 4.780344391327782461e+01 5.991249906483857046e+01
5.908461143817603300e+01 6.335964463502423882e+01 6.197202620619759728e+01
7.898175962557127150e+01 8.318046473207077440e+01 6.713280622758203720e+01
1.032699166109313325e+02 1.074939426392388242e+02 7.585087872545597065e+01
1.253974951265215765e+02 1.338216406715048095e+02 8.862396915767173766e+01
1.298073096843399696e+02 1.545009916911758978e+02 1.048928565577805614e+02
1.070258958846347070e+02 1.608686042723019796e+02 1.220536998472885131e+02
7.128744550434112170e+01 1.535386370707494166e+02 1.369827047716530615e+02
4.037033236756585097e+01 1.401798687023172363e+02 1.484393013122541163e+02
1.909398728672711698e+01 1.265059037798430666e+02 1.568440086465230081e+02
5.458904582451413745e+00 1.146359979707564065e+02 1.630418759487657780e+02
-3.268606147816296215e+00 1.048966089113638418e+02 1.677417360463618650e+02
-9.028128828570192610e+00 9.704929347177613863e+01 1.714397606281333708e+02
-1.302017797319793857e+01 9.075981327797204301e+01 1.744708621335967109e+02
-1.597328850047551185e+01 8.573459525052552976e+01 1.770653437239209893e+02
-1.834166343387493114e+01 8.174608321958292834e+01 1.793892616155621909e+02
-2.042493561846362127e+01 7.862692805651639105e+01 -1.784291634627618635e+02
-2.243821343996162199e+01 7.625815898016831795e+01 -1.762820582275912784e+02
-2.455408670801299564e+01 7.455817526415701479e+01 -1.740695158383365708e+02
-2.692932026842875004e+01 7.347357973846062862e+01 -1.716898093708989563e+02
-2.972279370388845621e+01 7.297091469583705248e+01 -1.690305674987027373e+02
-3.310671147434327821e+01 7.302726660021363614e+01 -1.659598938245524096e+02
-3.726802527742539439e+01 7.361627963531979901e+01 -1.623170957692930756e+02
-4.238843981666896354e+01 7.468374456760592750e+01 -1.579040414954959317e+02
-4.857583097099361424e+01 7.610382889378895754e+01 -1.524813353282030448e+02
-5.569897407840770143e+01 7.760680447384616798e+01 -1.457803256102873206e+02
-6.308303076689156796e+01 7.868570355202425048e+01 -1.375530617435035197e+02
-6.916824615671004040e+01 7.855128372847474338e+01 -1.276879103304181626e+02
-7.163485872520399766e+01 7.630644469854578915e+01 -1.163815386333944275e+02
-6.864882289538549287e+01 7.145691095426703043e+01 -1.042426961706063224e+02
-6.052882459988215658e+01 6.440807853976222930e+01 -9.213411082779447270e+01
-4.967225184342880340e+01 5.630678767005107943e+01 -8.078922792636727479e+01
-3.869196381193381740e+01 4.834023243449334473e+01 -7.054044810720414205e+01
-2.908834530226488724e+01 4.124934257418438932e+01 -6.134203673947786939e+01
-2.127026663443716359e+01 3.531250233670949257e+01 -5.294471963518508062e+01
-1.507773895369840567e+01 3.053164220138946305e+01 -4.505021575838797787e+01
-1.017530682362602690e+01 2.679527586828519503e+01 -3.740009514967246673e+01
-6.231605060723727441e+00 2.396767456095545512e+01 -2.981902958456984365e+01
-2.973971307082331705e+00 2.192516847481923747e+01 -2.223367932500281796e+01
-1.917748372441376858e-01 2.056558918779679601e+01 -1.467311470817486097e+01
2.275829097696117298e+00 1.980715031606240828e+01 -7.248003733701954943e+00
4.554259086925382505e+00 1.958526063944036011e+01 -1.096201047899838105e-01
6.746110487340924777e+00 1.985101932004995717e+01 6.599103013581927080e+00
8.941635909607757782e+00 2.057221048608418101e+01 1.278237725173578987e+01
1.122785675494264979e+01 2.173613305001456553e+01 1.840894528109826211e+01
1.369739802862029876e+01 2.335350220842726188e+01 2.350976423812690896e+01
1.645833023011195806e+01 2.546339934094525503e+01 2.816579337378281167e+01
1.964658968362986968e+01 2.814011888820568075e+01 3.249574373878180467e+01
2.344299138020249629e+01 3.150342374724088756e+01 3.664985543952846569e+01
2.809722616439417209e+01 3.573413822444611299e+01 4.081260422472779226e+01
3.396033997500205714e+01 4.109684732226831727e+01 4.521633418832276163e+01
4.152010579544768376e+01 4.796876551392018939e+01 5.016880800928747419e+01
5.140221626561693569e+01 5.686096218020987436e+01 5.609885018705961102e+01
6.418416687076161509e+01 6.836966257944550307e+01 6.361923954324134201e+01
7.952552554435489185e+01 8.284586920710772517e+01 7.356926878566081029e+01
9.364971157933089785e+01 9.929639841106508413e+01 8.685825245727801303e+01
9.645452907620092731e+01 1.135018942580191776e+02 1.036850300154193008e+02
7.889239093718660456e+01 1.190360727681514419e+02 1.222632934243621747e+02
4.907840216770625830e+01 1.144550870245887637e+02 1.393739554224013943e+02
2.226591240270112593e+01 1.049102862487956145e+02 1.531200331676985229e+02
3.549620106883242698e+00 9.529244530564747606e+01 1.636609255988331881e+02
-8.912006434783656061e+00 8.757849472310459760e+01 1.719633496036287852e+02
-1.786449813918505569e+01 8.208830924648650296e+01 1.789757090943184892e+02
-2.529701397680409869e+01 7.861330485710941218e+01 -1.745473138836710518e+02
-3.249625942781143095e+01 7.684793633916680733e+01 -1.680028324676879379e+02
-4.027480146199851418e+01 7.647872276538646474e+01 -1.608764803535486578e+02
-4.901403327279992084e+01 7.713695333626952788e+01 -1.527097850067837044e+02
-5.844971060310214739e+01 7.829079394209520615e+01 -1.431203604018628539e+02
-6.727367378308771606e+01 7.914794477926206184e+01 -1.318974402106202888e+02
-7.304208836538897742e+01 7.872894994231246812e+01 -1.191636449530735433e+02
-7.326166136478930468e+01 7.627999921643420578e+01 -1.054850719751981387e+02
-6.738313638927104421e+01 7.181015763955350906e+01 -9.173292573715626474e+01
-5.738188781992716514e+01 6.612542562632494025e+01 -7.870793108736712895e+01
-4.607404008443933208e+01 6.026205919364662122e+01 -6.685105626062497208e+01
-3.542157718824734758e+01 5.496712730540241409e+01 -5.624364641979304480e+01
-2.622077001509280336e+01 5.058818077460137630e+01 -4.676784571708746796e+01
-1.853839383899143911e+01 4.719860826035480983e+01 -3.824893148396252229e+01
-1.214228021448081307e+01 4.474037514434076712e+01 -3.052613639013220492e+01
-6.732815561426102491e+00 4.311322095509640207e+01 -2.347210930062927048e+01
-2.032223658463820470e+00 4.221778807357335950e+01 -1.698900824315402858e+01
2.194005944092587868e+00 4.197308817421188820e+01 -1.099797617320421317e+01
6.141591024677403254e+00 4.232236182530748181e+01 -5.429179329118349884e+00
9.979869048584925295e+00 4.323468550470298766e+01 -2.143898267335239416e-01
1.386598487415646375e+01 4.470581865251991616e+01 4.718220428081171924e+00
1.795969792905426132e+01 4.675999268760251937e+01 9.448242885276405545e+00
2.243973110307341301e+01 4.945364827756917947e+01 1.406754166114972904e+01
2.752355824427967335e+01 5.288190701824179740e+01 1.868661675516921861e+01
3.349290060856450424e+01 5.718834866064027977e+01 2.344466821110690447e+01
4.072603026790115166e+01 6.257764525672489953e+01 2.852599392865010941e+01
4.973057492551707526e+01 6.932643261644192023e+01 3.418666514589259009e+01
6.113982403740254057e+01 7.777311830679393267e+01 4.079654886235908151e+01
7.552634884102738511e+01 8.822054000327186429e+01 4.889805314632037891e+01
9.256698735490954277e+01 1.005587963734290469e+02 5.925404721017716270e+01
1.086110397893239252e+02 1.132237973288045936e+02 7.274029390955423935e+01
1.134842738120867267e+02 1.216433037489533291e+02 8.969468898651574307e+01
9.664688139087360241e+01 1.196345456017228344e+02 1.086483710286114786e+02
6.512244881114492046e+01 1.066452235344814312e+02 1.264168471594217635e+02
3.640714359459229854e+01 8.906110327095619539e+01 1.407001543799652836e+02
1.753378951942714892e+01 7.242429753806680992e+01 1.512871031187489166e+02
6.800588167571872233e+00 5.859568860792499123e+01 1.589443728007210552e+02
1.129891076853152043e+00 4.751268296094263377e+01 1.644646152143618281e+02
-1.633164542610529679e+00 3.861797447448405052e+01 1.684060112761409869e+02
-2.739329266046141242e+00 3.136611495989949816e+01 1.710987762859821828e+02
-2.882321090881925674e+00 2.533228986689461593e+01 1.726847910551171594e+02
-2.446319013659792319e+00 2.020813488127582858e+01 1.731219835749481035e+02
-1.646042221055311838e+00 1.577867263115008534e+01 1.721169414306194767e+02
-6.018642489437331378e-01 1.190844744988865855e+01 1.688986531593943425e+02
6.200668179551762638e-01 8.556210771937708515e+00 1.615568737417393947e+02
1.986180036158175399e+00 5.877032097821647483e+00 1.452868309151517678e+02
3.483728591712177192e+00 4.532985437712370391e+00 1.127564308497595675e+02
5.114526810490312769e+00 5.325165488882429798e+00 7.721606488545816660e+01
6.891917492044377980e+00 7.545334136378470724e+00 5.782845478626138203e+01
8.839837923829984234e+00 1.033648689183881331e+01 4.877983743514368342e+01
1.099348423280125431e+01 1.342656835878494093e+01 4.434315856308038661e+01
1.340147567266996553e+01 1.677060367857544065e+01 4.216615362746586726e+01
1.612973902040759100e+01 2.040052134473429746e+01 4.126857532596427802e+01
1.926765896824131730e+01 2.438703842683331047e+01 4.120820822272219885e+01
2.293743362885457060e+01 2.883313950680173576e+01 4.178322910970707227e+01
2.730804471468951888e+01 3.387908018439733127e+01 4.291915575277700867e+01
3.261562011798670113e+01 3.971430338220059042e+01 4.462595512409048837e+01
3.919132926144002482e+01 4.659528048561386981e+01 4.698771918040037576e+01
4.749277581965492345e+01 5.486700737464619948e+01 5.017329337362338038e+01
5.811247147468513674e+01 6.497602818021076132e+01 5.446639827324285932e+01
7.165562645592738988e+01 7.742688833874657917e+01 6.031566897849036479e+01
8.812859447160106185e+01 9.252380598752675667e+01 6.838793043490196055e+01
1.049859256055493546e+02 1.095012211922445857e+02 7.952463844581174612e+01
1.136860527469067819e+02 1.247115794625078138e+02 9.428262109995310425e+01
1.020893541259356567e+02 1.311505666871507572e+02 1.117624236864034231e+02
7.180265622019915384e+01 1.247219239200546639e+02 1.290668544429005351e+02
4.033225042034829499e+01 1.099280763454118528e+02 1.434313774831366004e+02
1.829094110647727334e+01 9.357440593072595902e+01 1.541433940936587703e+02
5.375485850530939302e+00 7.904679314273070645e+01 1.618239347726695030e+02
-1.598741351064983718e+00 6.703042539019962476e+01 1.673056353861371406e+02
-5.125129340833550984e+00 5.723262326345037820e+01 1.712314443022409591e+02
-6.694850021428941922e+00 4.918012264053791682e+01 1.740291020348518032e+02
-7.140918812301325858e+00 4.245454586814624065e+01 1.759664275344087514e+02
-6.925197604169869514e+00 3.673247162682909561e+01 1.772003238126031022e+02
-6.306711228161733018e+00 3.177381934151666343e+01 1.778065810382938992e+02
-5.432700669594982656e+00 2.740236481314326156e+01 1.777924991241676764e+02
-4.387335717013963077e+00 2.348957591071767581e+01 1.770937417781116210e+02
-3.218096434211648926e+00 1.994385196616896039e+01 1.755521337107811632e+02
-1.950330460039915170e+00 1.670561472478426523e+01 1.728629975318893912e+02
-5.954185091687351772e-01 1.374997328118527840e+01 1.684664847029138457e+02
8.446187254287318424e-01 1.110270938361986559e+01 1.613413231925771072e+02
2.374571692438423476e+00 8.883074323875426614e+00 1.497273637667877608e+02
4.004747492690784227e+00 7.381437817986762795e+00 1.314991807814567721e+02
5.750503054680995874e+00 7.044352870316067161e+00 1.077020189175946285e+02
7.632394316431845738e+00 8.062063330538704164e+00 8.567642192552297331e+01
9.676864490704733868e+00 1.011845054795988119e+01 7.043087561058253243e+01
1.191749355401364951e+01 1.283809277227996581e+01 6.095744261202136016e+01
1.439692226431484912e+01 1.602779810236641111e+01 5.510918945158553583e+01
1.716966885873829085e+01 1.962750187089209319e+01 5.146542840443965616e+01
2.030619700048088205e+01 2.364943778333566726e+01 4.923183037788984251e+01
2.389879599158261669e+01 2.815081799074275892e+01 4.797256823395604641e+01
2.807013049923049053e+01 3.322608369698708941e+01 4.745040146410184434e+01
3.298573213285295225e+01 3.900952731217385860e+01 4.754565943184475429e+01
3.887219801792843299e+01 4.568504367255088283e+01 4.821792725811182123e+01
4.604309435147462182e+01 5.350247465350592790e+01 4.949165971902965566e+01
5.493307029951186138e+01 6.280034270641051819e+01 5.145815527895405239e+01
6.613195826845331737e+01 7.403098474521455330e+01 5.429283022816388637e+01
8.037522947850986554e+01 8.776755788927741264e+01 5.829073990930655924e+01
9.832192655028228501e+01 1.046146150015753875e+02 6.392265075676046848e+01
1.195767005027190777e+02 1.247702680959008319e+02 7.189203293289443764e+01
1.397678230161442343e+02 1.466368042360667232e+02 8.307004435737043480e+01
1.462088006786683536e+02 1.641878845400067348e+02 9.792327198174920966e+01
1.244403058031997773e+02 1.673414403041672927e+02 1.151642691357010051e+02
8.285086520217686257e+01 1.524012209539893092e+02 1.314201216123724407e+02
4.608237554166109362e+01 1.276217245782492000e+02 1.438058651012491964e+02
2.434838714529425374e+01 1.021041599934408168e+02 1.515108239325970487e+02
1.506514758768336293e+01 7.963103613334402553e+01 1.545258270199021524e+02
1.397162251437186598e+01 6.102963678692675131e+01 1.520970614467362054e+02
1.852286668072529352e+01 4.717211208505364084e+01 1.417581615854810764e+02
2.781641994954446773e+01 4.120265354701991356e+01 1.212368942040168633e+02
4.212243454457366454e+01 4.753124349761321810e+01 9.859561943476228407e+01
